139
76	-nan(ind)	-nan(ind)	-nan(ind)	0.0	0.0	40.0	-nan(ind)
76	-nan(ind)	-nan(ind)	-nan(ind)	0.0	0.0	40.0	-nan(ind)
76	-nan(ind)	-nan(ind)	-nan(ind)	0.0	0.0	0.0	1.0000000
85	25232.4180	25122.629	273.91290	0.0	0.0	-90.0	1.0000000
85	25021.3535	25239.434	273.10590	0.0	0.0	-135.0	1.0000000
28	25232.9766	25088.369	314.63651	0.0	0.0	0.0	1.0000000
85	24687.3281	25044.080	223.00000	0.0	0.0	-100.0	1.0000000
9	24629.6699	25027.020	315.00000	0.0	0.0	-20.0	2.0000000
85	24800.7578	25078.812	324.00000	0.0	0.0	-45.0	1.0000000
85	25186.0000	24831.742	223.00000	0.0	0.0	-45.0	1.0000000
85	25142.9785	24703.184	156.76122	0.0	0.0	-100.0	1.0000000
28	25204.0273	24656.859	317.99997	0.0	0.0	0.0	0.5000000
85	25045.8184	24655.750	88.00000	0.0	0.0	-110.0	1.0000000
85	25225.2520	24611.688	88.00000	0.0	0.0	-20.0	1.0000000
85	25267.7051	24742.609	88.00000	0.0	0.0	25.0	1.0000000
9	25109.8301	24678.617	315.00000	0.0	0.0	-30.0	2.0000000
11	25160.7988	24654.977	311.56549	0.0	0.0	20.0	2.0000000
9	25198.1270	24711.719	315.00000	0.0	0.0	60.0	2.0000000
28	25232.3984	24837.656	314.63651	0.0	0.0	0.0	1.0000000
85	24946.0703	24865.754	223.00000	0.0	0.0	-90.0	1.0000000
85	24995.5664	25010.529	277.19794	0.0	0.0	-45.0	1.0000000
85	24637.2109	24973.654	88.00000	0.0	0.0	-90.0	1.0000000
85	24816.8984	24881.160	88.00000	0.0	0.0	-110.0	1.0000000
85	24934.3984	24763.539	88.00000	0.0	0.0	-110.0	1.0000000
9	24828.9805	24923.439	315.00000	0.0	0.0	-35.0	2.0000000
9	24989.2188	24774.000	315.00000	0.0	0.0	-50.0	2.0000000
60	24882.7305	24729.760	25.00000	0.0	0.0	0.0	1.0000000
85	24385.1094	25165.580	241.99998	0.0	0.0	-45.0	1.0000000
85	24268.6758	25121.432	225.00000	0.0	0.0	-45.0	1.0000000
85	24434.1523	25054.494	88.00000	0.0	0.0	-60.0	1.0000000
85	24543.6484	25185.160	241.99998	0.0	0.0	-90.0	1.0000000
85	24289.0000	25098.000	88.00000	0.0	0.0	-60.0	1.0000000
9	24223.9492	25154.648	315.00000	0.0	0.0	-10.0	2.0000000
9	24433.0000	25097.775	315.00000	0.0	0.0	-20.0	2.0000000
85	23839.2109	25148.229	241.99998	0.0	0.0	-45.0	1.0000000
85	24051.6641	25138.455	241.99998	0.0	0.0	-45.0	1.0000000
85	23828.5293	25118.572	88.00000	0.0	0.0	-60.0	1.0000000
85	23977.7969	25123.180	88.00000	0.0	0.0	-60.0	1.0000000
85	24135.5391	25112.027	88.00000	0.0	0.0	-60.0	1.0000000
9	23800.3164	25170.859	315.00000	0.0	0.0	0.0	2.0000000
9	24015.9004	25171.977	315.00000	0.0	0.0	0.0	2.0000000
77	24284.7891	24794.119	24.00000	0.0	0.0	-180.0	0.5500000
77	24445.4766	24691.020	24.00000	0.0	0.0	-180.0	0.4500000
77	24304.2695	24676.518	24.00000	0.0	0.0	-180.0	0.2500000
76	24192.0000	24673.000	24.00000	0.0	0.0	60.0	0.1500000
57	24404.6074	24927.041	323.00000	0.0	0.0	45.0	3.0000000
120	24203.7773	24623.908	24.00000	0.0	0.0	-315.0	0.6000000
6	24343.0391	24675.297	18.00000	0.0	0.0	145.0	2.0000000
6	24195.0996	24751.070	18.00000	0.0	0.0	160.0	2.0000000
60	24486.3301	24911.439	25.00000	0.0	0.0	0.0	1.0000000
77	24117.5098	24858.457	24.00000	0.0	0.0	-180.0	0.3500000
77	24121.7500	24734.449	24.00000	0.0	0.0	-315.0	0.2500000
115	23848.2793	24649.500	24.48652	0.0	0.0	45.0	1.2000000
104	24072.3535	24600.596	26.00000	0.0	0.0	0.0	0.3000000
122	23743.3066	24854.619	27.57490	0.0	0.0	45.0	2.0999999
6	24032.4805	24795.309	18.00000	0.0	0.0	170.0	2.0000000
