//IndexBuff	Arg1	Arg2	Arg3	NameBuff	Arg4	Arg5	Arg6	InfoBuff
1	1	255	255	"Increase Attack Power"	0	1	1	"Physical Damage: +%d/Magic Damage: +%d/Curse Damage: +%d"
2	2	255	255	"Increase Defense"	0	1	1	"Defense Increase: +%d"
3	3	255	255	"Ghost Effect"	0	1	1	"Physical Damage: +%d/Magic Damage: +%d/Curse Damage: +%d/Defense: +%d"
4	4	255	255	"Mana Shield"	0	1	1	"Uses Mana to absorb damage/Damage Reduction: +%d%%"
5	5	255	255	"Increase Critical Damage"	0	1	1	"Critical Hit Chance: +%d"
6	6	255	255	"Infinite Arrows"	0	0	1	"Arrow count will not decrease"
7	7	255	255	"Auto AG Recovery"	0	0	1	""
8	8	255	255	"Increase HP"	0	1	1	"Maximum HP Increase: +%d%%"
9	9	255	255	"Increase Mana"	0	0	1	"Maximum Mana Increase: +%d"
10	10	255	255	"Potion of Blessing"	0	0	1	"Attack Power: +20%%"
11	11	255	255	"Soul Potion"	0	0	1	"Attack Speed: +%d/Magic Speed: +%d/AG Recovery Speed: +%d"
12	12	255	255	"Magic Cancel"	0	0	1	""
13	13	255	255	"Open Gate/Close Gate"	0	1	1	""
14	14	255	255	"Watch Tower"	0	1	1	"Observe the entire castle"
15	14	255	255	"Defeat Guild 1"	0	1	1	"Castle Attack 1"
16	14	255	255	"Defeat Guild 2"	0	1	1	"Castle Attack 2"
17	14	255	255	"Defeat Guild 3"	0	1	1	"Castle Attack 3"
18	15	255	255	"Invisibility"	0	1	1	"Invisible State"
19	16	255	255	"Lord's Skill"	0	0	1	""
20	17	255	255	"Seal State"	0	1	1	""
21	18	255	255	"Crywolf Curse: Active"	0	1	1	""
22	18	255	255	"Crywolf Curse: Disabled"	0	1	1	""
23	18	255	255	"Crywolf Curse Status"	0	1	1	""
24	18	255	255	"Crywolf Curse Map"	0	1	1	""
25	18	255	255	"Crywolf Curse Acquired"	0	1	1	""
26	18	255	255	"Crywolf Curse Conquered"	0	1	1	""
27	19	255	255	"Crywolf NPC Disappeared"	0	1	1	""
28	20	255	255	"Game Master"	0	1	1	"Game Master Authority"
29	24	13	43	"EXP Seal"	0	0	1	"Experience Rate: +%d%%"
30	24	13	44	"Seal of Ascension"	0	0	1	"Experience Rate: +%d%%/Item Drop Rate: +%d%%"
31	24	13	45	"EXP Block"	0	0	1	"Experience Gain Disabled"
32	22	255	255	"Temple - Quick Spell"	0	0	1	""
33	22	255	255	"Temple - Enhanced Magic"	0	0	1	""
34	22	255	255	"Protection Spell"	0	1	1	"Damage Absorption: %d%%"
35	23	14	46	"Jack O'Lantern's Blessing"	0	0	1	"Attack Speed: +%d/Magic Speed: +%d"
36	23	14	47	"Jack O'Lantern's Rage"	0	0	1	"Physical Damage: +%d/Magic Damage: +%d"
37	23	14	48	"Jack O'Lantern's Cry"	0	0	1	"Defense Increase: +%d"
38	23	14	49	"Jack O'Lantern Food"	0	0	1	"Max HP: +%d"
39	23	14	50	"Jack O'Lantern Drink"	0	0	1	"Max Mana: +%d"
40	24	13	43	"EXP Boost"	0	0	1	"Experience Gain: %d%%"
41	24	13	44	"Seal of Ascension"	0	0	1	"Experience Gain: %d%%/Item Drop Rate: %d%%"
42	24	13	45	"EXP Freeze"	0	0	1	"Cannot gain experience"
43	24	13	59	"Seal of Mobility"	0	0	1	"Mobility Enabled"
44	67	14	72	"Speed Scroll"	0	1	1	"Attack Speed: +%d/Magic Speed: +%d"
45	68	14	73	"Defense Scroll"	0	1	1	"Defense: +%d"
46	69	14	74	"Attack Scroll"	0	1	1	"Attack Power: +%d"
47	70	14	75	"Wizardry Scroll"	0	1	1	"Magic Damage: +%d"
48	71	14	76	"HP Scroll"	0	1	1	"HP Increase: +%d"
49	72	14	77	"Mana Scroll"	0	1	1	"Mana Increase: +%d"
50	26	14	78	"Strength Elixir"	0	1	1	"Strength Increase: +%d"
51	26	14	79	"Agility Elixir"	0	1	1	"Agility Increase: +%d"
52	26	14	80	"Vitality Elixir"	0	1	1	"Vitality Increase: +%d"
53	26	14	81	"Energy Elixir"	0	1	1	"Energy Increase: +%d"
54	26	14	82	"Leadership Elixir"	0	1	1	"Leadership Increase: +%d"
55	27	255	255	"Poison"	1	1	1	"Poisoned State"
56	28	255	255	"Ice"	1	1	1	"Movement Speed Reduced"
57	29	255	255	"Ice Arrow"	1	1	1	"Cannot Move"
58	30	255	255	"Defense Reduction"	1	1	1	"Random Defense Reduction: %d%%"
59	31	255	255	"Attack Reduction"	1	0	1	""
60	32	255	255	"Wizardry Reduction"	1	0	1	""
61	33	255	255	"Stun"	1	1	1	"Movement Disabled"
62	34	255	255	"Magic Defense"	1	0	1	""
63	35	255	255	"Monster Magic Resistance"	1	1	1	""
64	36	255	255	"Monster Physical Resistance"	1	1	1	""
65	37	255	255	"Command Suppression"	1	1	1	"Cannot Move"
66	38	255	255	"Wolf Castle Defense Status"	0	1	1	"Wolf Castle Defense Status"
67	38	255	255	"Wolf Castle Defense Status"	0	1	1	"Wolf Castle Defense Status"
68	38	255	255	"Wolf Castle Defense Status"	0	1	1	"Wolf Castle Defense Status"
69	38	255	255	"Wolf Castle Defense Status"	0	1	1	"Wolf Castle Defense Status"
70	38	255	255	"Wolf Castle Defense Status"	0	1	1	"Wolf Castle Defense Status"
71	39	255	255	"Damage Reflection"	0	1	1	"Damage Reflection: +%d%%"
72	40	255	255	"Sleep"	1	1	1	"Short Sleep Duration"
73	40	255	255	"Confusion"	1	1	1	"Attack Success Rate: -%d%%"
74	41	255	255	"Life Drain"	1	1	1	"Absorbs the target's HP"
75	42	255	255	"Explosion"	1	1	1	"Summons Saha Monster to attack"
76	43	255	255	"Weaken"	1	1	1	"Physical Damage: -%d%%/Wizardry Damage: -%d%%/Curse Damage: -%d%%"
77	44	255	255	"Defense Reduction"	1	1	1	"Defense Decreased: %d"
78	23	14	85	"Spring Wine"	0	0	1	"Max Mana Increase: +%d"
79	23	14	86	"Spring Cake"	0	0	1	"Max HP Increase: +%d"
80	23	14	87	"Fairy Flower Petal"	0	0	1	"Physical Damage: +%d/Wizardry Damage: +%d"
81	1	255	255	"Rage Burst"	0	1	1	"Sword Damage: +%d%%/Mana: +%d%%/Sword Defense Power: +%d%%/Max HP: -%d%%"
82	45	255	255	"Minimum Attack Increase"	0	1	1	"Minimum Attack Damage Increase: +%d"
83	46	255	255	"Fire Sword"	1	1	1	""
84	47	255	255	"Lightning Storm"	1	1	1	""
85	48	255	255	"Electric Shock"	1	1	1	""
86	49	255	255	"Ice Shock"	1	1	1	"Movement Speed Decreased."
87	13	13	62	"EXP & HP Boost"	0	0	1	"Experience Gain Increase: +%d%%/Auto HP Recovery: +%d%%"
88	13	13	63	"Item & MP Boost"	0	0	1	"Item Drop Rate Increase: +%d%%/Auto Mana Recovery: +%d%%"
89	14	14	97	"Critical Damage Seal"	0	1	1	"Critical Damage Rate Increase: +%d%%"
90	14	14	98	"Excellent Damage Seal"	0	1	1	"Excellent Damage Rate Increase: +%d%%"
91	23	255	255	"Merry Christmas"	0	1	1	"Physical Damage: +%d/Wizardry Damage: +%d/Curse Damage: +%d/Defense: +%d"
92	23	255	255	"Santa's Recovery"	0	1	1	"Max HP Increase: +%d"
93	23	255	255	"Santa's Assistance"	0	1	1	"Max Mana Increase: +%d"
94	23	255	255	"Santa's Endurance"	0	1	1	"Physical Damage: +%d/Wizardry Damage: +%d/Curse Damage: +%d"
95	23	255	255	"Santa's Protection"	0	1	1	"Defense Increase: +%d"
96	23	255	255	"Santa's Agility"	0	1	1	"Attack Speed: +%d/Wizardry Speed: +%d"
97	23	255	255	"Santa's Recovery"	0	1	1	"AG Recovery Rate: +%d"
98	50	255	255	"Battle Spectator"	0	0	1	"You can watch and participate in battles."
99	52	13	81	"Guardian Charm"	0	0	1	"Prevents Death"
100	53	13	82	"Item Protection Charm"	0	0	1	"Protects Item Durability"
101	24	13	93	"Master Experience Seal"	0	0	1	"Master EXP Increase: +%d%%"
102	24	13	94	"Master Angel Seal"	0	0	1	"Master EXP Increase: +%d%%/Item Drop Rate Increase: +%d%%"
103	51	13	95	"Mark of Honor"	0	0	1	"EXP Increase: +%d%% / Item Drop Rate Increase / Can only be used in Vulcanus."
104	21	13	96	"Power Boost"	0	0	1	"Increases Attack Power and Defense"
105	54	255	255	"Heaven"	0	0	1	""
106	55	255	255	"PK Penalty"	1	0	1	"Command usage restricted for 5 minutes"
107	56	255	255	"Vitality Reduction Stage 1"	1	0	1	"EXP Gain: 50%%/Item Drop Rate: 50%%"
108	56	255	255	"Vitality Reduction Stage 2"	1	0	1	"EXP Gain: 50%%/Item Drop Rate: 0%%"
112	24	13	103	"Party Experience Boost"	0	1	1	"EXP Rate: +%d%%/Master EXP Rate: +%d%%/Bonus Party EXP Rate: +%d%%"
113	58	13	104	"Maximum AG Increase"	0	1	1	"Max BP: +%d"
114	59	13	105	"Maximum SD Increase"	0	1	1	"Max SD: +%d"
115	56	13	117	"Minimum Vitality"	0	0	1	"100%% EXP Gain / 100%% Item Drop Rate / Prevents Stamina Reduction."
116	56	13	118	"Low Vitality"	0	0	1	"100%% EXP Gain / 100%% Item Drop Rate / Prevents Stamina Reduction."
117	56	13	119	"Medium Vitality"	0	0	1	"100%% EXP Gain / 100%% Item Drop Rate / Prevents Stamina Reduction."
118	56	13	120	"High Vitality"	0	0	1	"100%% EXP Gain / 100%% Item Drop Rate / Prevents Stamina Reduction."
119	66	13	116	"Mark of Fortune"	0	0	1	"Item Drop Rate Increase: 150%%"
120	59	255	255	"Third-Party Program Penalty"	1	0	1	"50%% EXP Gain / 0%% Item Drop Rate"
121	75	14	140	"Recovery License Scroll"	0	1	1	"+3%% HP Recovery/+100 HP"
129	79	255	255	"Penetration"	0	1	1	"Increases the chance to ignore enemy Defense./Ignore Defense: +%d%%"
130	80	255	255	"Vitality Increase"	0	1	1	"Increases Vitality./HP: +%d"
131	81	255	255	"Protection"	0	1	1	"Successful Defense Rate: +%d"
132	82	255	255	"Defense Success Rate Reduction"	1	0	1	"Reduces Defense Success Rate."
133	83	255	255	"Invincibility"	0	1	1	"Invincible Status"
134	84	255	255	"Iron Defense"	0	1	1	"Max HP: +%d/Defense: +%d"
135	8	255	255	"Blood Recovery"	0	1	1	"Max HP: +%d%%/Max MP: +%d%%"
136	8	255	255	"Blood Recovery"	0	1	1	"Max HP: +%d%%/Max MP: +%d%%/Max BP: +%d%%"
137	85	255	255	"Phantom"	1	1	1	"Consumes HP every second."
138	45	255	255	"Wizardry Increase"	0	1	1	"Minimum Wizardry Damage: +%d/Maximum Wizardry Damage: +%d"
139	45	255	255	"Wizardry Increase"	0	1	1	"Minimum Wizardry Damage: +%d/Maximum Wizardry Damage: +%d/Excellent Damage: +%d%%"
140	4	255	255	"Mana Shield"	0	1	1	"Damage Absorption: +%d/Max Mana: +%d%%"
141	86	255	255	"Attack Speed Reduction"	1	1	1	"Attack Speed Reduced."
142	87	255	255	"Fortify"	0	1	1	"Strength Increase: %d/Agility Increase: %d/Vitality Increase: %d/Energy Increase: %d"
143	6	255	255	"Infinite Arrow"	0	0	1	"Arrows are not consumed/Physical Damage: +%d%%"
144	88	255	255	"Blind"	0	1	1	"Attack Success Rate: -%d%%"
145	89	255	255	"Life Drain"	1	1	1	"HP decreases every second and is transferred to the caster."
146	90	255	255	"Rage Burst"	1	1	1	"Increases Wizardry and Attack Power."
147	91	255	255	"Binding"	1	1	1	"Cannot teleport."
148	5	255	255	"Critical Damage Increase"	0	1	1	"Damage: +%d/Critical Damage Rate: +%d%%"
149	5	255	255	"Critical Damage Increase"	0	1	1	"Damage: +%d/Critical Damage Rate: +%d%%/Excellent Damage: +%d%%"
150	1	255	255	"Rage"	0	1	1	"Lightning Sword Damage: +%d%%/Mana: +%d%%/Sword Damage: +%d%%/Max HP: -%d%%"
151	1	255	255	"Rage"	0	1	1	"Lightning Sword Damage: +%d%%/Mana: +%d%%/Sword Damage: +%d%%/Max HP: -%d%%"
152	1	255	255	"Rage"	0	1	1	"Lightning Sword Damage: +%d%%/Mana: +%d%%/Sword Damage: +%d%%/Max HP: -%d%%"
153	81	255	255	"Defense Success Rate Increase"	0	1	1	"Defense Success Rate: +%d"
154	81	255	255	"Defense Success Rate Increase"	0	1	1	"Defense Success Rate: +%d/Defense: +%d"
155	80	255	255	"HP Increase"	0	1	1	"HP Increase: +%d"
156	79	255	255	"Ignore Enemy Defense"	0	1	1	"Increases the chance to ignore enemy Defense."
157	92	255	255	"Burn"	1	1	1	"HP decreases every second from burn damage."
